"Date","Price","Open","High","Low","Vol.","Change %"
"9-01-1995","5.435","5.280","5.515","5.130","5.28K","2.33%"
"8-01-1995","5.311","5.139","5.789","5.110","23.04K","5.57%"
"7-01-1995","5.031","5.025","5.410","4.980","3.47K","0.34%"
"6-01-1995","5.014","5.200","5.440","4.980","16.58K","-5.16%"
"5-01-1995","5.287","5.720","6.160","5.100","5.20K","-7.60%"
"4-01-1995","5.722","5.210","5.930","5.210","14.76K","8.11%"
"3-01-1995","5.293","4.440","5.250","4.340","4.03K","17.28%"
"2-01-1995","4.513","4.665","4.740","4.430","29.09K","-2.93%"
"1-01-1995","4.649","4.815","4.885","4.635","0.11K","-4.62%"
"12-01-1994","4.874","4.880","4.935","4.530","3.89K","-0.45%"
"11-01-1994","4.896","5.110","5.260","4.840","33.25K","-6.60%"
"10-01-1994","5.242","5.615","5.615","5.585","0.50K","-6.54%"
"9-01-1994","5.609","5.410","5.730","5.375","2.46K","3.05%"
"8-01-1994","5.443","5.305","5.450","5.063","13.39K","2.37%"
"7-01-1994","5.317","5.360","5.470","5.120","2.37K","-1.17%"
"6-01-1994","5.380","5.285","5.510","5.215","13.91K","-2.71%"
"5-01-1994","5.530","5.320","5.745","5.050","5.59K","3.60%"
"4-01-1994","5.338","5.440","5.440","5.070","21.53K","-7.50%"
"3-01-1994","5.771","5.330","5.790","5.160","6.34K","7.75%"
"2-01-1994","5.356","5.270","5.370","5.160","23.65K","4.53%"
"1-01-1994","5.124","5.085","5.330","5.000","0.06K","0.73%"
"12-01-1993","5.087","4.400","5.140","4.375","5.65K","15.09%"
"11-01-1993","4.420","4.190","4.625","4.190","27.63K","1.49%"
"10-01-1993","4.355","4.040","4.465","4.020","0.11K","7.24%"
"9-01-1993","4.061","4.830","4.840","3.910","2.88K","-16.06%"
"8-01-1993","4.838","5.375","5.400","4.540","7.98K","-10.27%"
"7-01-1993","5.392","4.540","5.270","4.530","5.16K","18.30%"
"6-01-1993","4.558","4.440","4.620","4.230","15.70K","-1.15%"
"5-01-1993","4.611","4.450","4.720","4.225","2.89K","5.06%"
"4-01-1993","4.389","3.870","4.400","3.835","5.51K","13.12%"
"3-01-1993","3.880","3.565","3.900","3.530","4.30K","8.84%"
"2-01-1993","3.565","3.660","3.756","3.525","21.96K","-2.38%"
"1-01-1993","3.652","3.640","3.700","3.640","0.31K","-0.54%"
"12-01-1992","3.672","3.735","3.785","3.630","3.89K","-1.58%"
